"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "XML", "comment", "blank", "total"
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\cart\QuantityUpdate.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 13, 130
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\cart\Summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 5, 53
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\checkout\AddressForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\checkout\CredentialsForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\checkout\PaymentForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 5, 89
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\home\HomePagintation.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\home\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 5, 55
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\home\Products.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\home\ProductsSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\nav\AdminDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 70
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\nav\AuthButtons.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\nav\AvatarDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 46
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\nav\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 7, 121
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\order\Info.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 5, 66
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\order\PriceSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\product-page\Detailts.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\product-page\Images.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\product-page\ReviewForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\product-page\Reviews.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\product-page\ReviewsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\product-page\Summary.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 6, 53
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\product-page\styles.css", "CSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\search\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 10, 59
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\search\SearchResults.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\user\DeleteUserBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\user\Details.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 11, 145
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\user\PasswordChange.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 11, 73
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\components\user\UserDetailsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\models\Order.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\models\Product.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\models\Review.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\models\User.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\next.config.mjs", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 2, 25
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\package-lock.json", "JSON", 0, 9654, 0, 0, 0, 0, 0, 0, 0, 1, 9655
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\package.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\public\error.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\public\not-found.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\tailwind.config.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\types\mongoModels.d.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\types\next-auth.d.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\actions\auth.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 15, 95
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\actions\cart.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 26, 142
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\actions\order.ts", "TypeScript", 0, 0, 190, 0, 0, 0, 0, 0, 0, 25, 215
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\actions\product.ts", "TypeScript", 0, 0, 199, 0, 0, 0, 0, 0, 0, 42, 241
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\actions\review.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 1, 17, 97
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\actions\user.ts", "TypeScript", 0, 0, 213, 0, 0, 0, 0, 0, 2, 39, 254
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\authOptions.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 11, 78
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\connectDB.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\conutries.ts", "TypeScript", 0, 0, 251, 0, 0, 0, 0, 0, 0, 1, 252
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\helpers.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"e:\sponge\Programming\my_projects\eco-alt-new\eco-alt\utils\http-helpers.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"Total", "-", 29, 9719, 1423, 28, 3637, 38, 39, 4, 6, 732, 15655
